127.0.0.1 - - [15/Jan/2026:18:57:23 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:32 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:32 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:33 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:33 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:33 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:33 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:33 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:33 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:34 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:34 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:57 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:57 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:01:00 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:01:00 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:01:41 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:01:42 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:01:52 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:01:52 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:06 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:07 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:21 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:21 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:23 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:23 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:24 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:24 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:25 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:25 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:25 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:25 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:26 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:26 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:27 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:27 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:27 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:02:27 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:21:29 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:21:50 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:21:51 +0900] "GET /testProj/member/MemberInsert HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:24:20 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:24:22 +0900] "GET /testProj/member/MemberModifyForm?id=test3 HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:24:27 +0900] "GET /testProj/member/MemberModifyReg?memid=test3&mname=BBB&email=qwqw%40naver.com&tel=111222333&addr=%EB%8C%80%EC%A0%84&birth=2018-06-06 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:24:29 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:24:30 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:24:42 +0900] "GET /testProj/member/MemberInsert HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:26:47 +0900] "GET /testProj/member/MemberInsert HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:27:03 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:27:03 +0900] "GET /testProj/member/MemberInsertForm HTTP/1.1" 500 3173
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:27:38 +0900] "GET /testProj/member/MemberInsertForm HTTP/1.1" 500 3173
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:29:42 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:29:43 +0900] "GET /testProj/member/MemberInsertForm HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:39:28 +0900] "GET /testProj/member/MemberInsertForm HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:39:51 +0900] "POST /testProj/member/MemberInsertReg HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:39:53 +0900] "GET /testProj/member/MemberDetail?id=123987 HTTP/1.1" 500 3044
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:40:35 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:41:51 +0900] "POST /testProj/member/MemberInsertReg HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:41:52 +0900] "GET /testProj/member/MemberDetail?id=123987 HTTP/1.1" 500 3044
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:42:15 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:42:17 +0900] "GET /testProj/member/MemberInsertForm HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:43:35 +0900] "GET /testProj/member/MemberInsertForm HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:43:51 +0900] "POST /testProj/member/MemberInsertReg HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:43:52 +0900] "GET /testProj/member/MemberDetail?id=123987tt HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:43:52 +0900] "GET /testProj/up/null HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:43:56 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:43:57 +0900] "GET /testProj/member/MemberDetail?id=123987tt HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:43:57 +0900] "GET /testProj/up/null HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:43:58 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:45:12 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:45:13 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:48:57 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:48:59 +0900] "GET /testProj/member/MemberDetail?id=123987tt HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:48:59 +0900] "GET /testProj/up/null HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:49:02 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:49:03 +0900] "GET /testProj/member/MemberInsertForm HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:49:58 +0900] "POST /testProj/member/MemberInsertReg HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:49:59 +0900] "GET /testProj/member/MemberDetail?id=test2 HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:49:59 +0900] "GET /testProj/up/null HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:50:00 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:50:20 +0900] "GET /testProj/member/MemberDetail?id=test2 HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:50:20 +0900] "GET /testProj/up/null HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:50:22 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:51:48 +0900] "GET /testProj/member/MemberDetail?id=test2 HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:51:48 +0900] "GET /testProj/up/null HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:51:50 +0900] "GET /testProj/member/MemberDelete?id=test2 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:51:55 +0900] "GET /testProj/member/MemberDelete?id=test2 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:30 +0900] "GET /testProj/member/MemberDelete?id=test2 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:31 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:32 +0900] "GET /testProj/member/MemberDetail?id=test2 HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:32 +0900] "GET /testProj/up/null HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:33 +0900] "GET /testProj/member/MemberDelete?id=test2 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:34 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:50 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:51 +0900] "GET /testProj/member/MemberDetail?id=test2 HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:51 +0900] "GET /testProj/up/null HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:52 +0900] "GET /testProj/member/MemberDelete?id=test2 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:52:53 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1924
